t,x,y,vx,vy,psi,omega,ax_true,ay_true,ax_meas,ay_meas,omega_meas,Bx_true,By_true,Bz_true,f1_plus,f1_minus,f2_plus,f2_minus,f3_plus,f3_minus,f4_plus,f4_minus
1824.2,587.751277625534,572.8130152692905,3.9537818650056042,3.060654989369564,0.6587526745633079,-0.004315962306852272,0.013209653113104292,-0.01706438693801493,0.011805109074167363,-0.018523531858741494,-0.0034711105542301252,20814.844279357203,-8113.171955453436,46310.15194677889,2872.034995908364,2868.1250040916357,2870.7987026720707,2869.361297327929,2869.862411090417,2870.297588909583,2871.623890329148,2868.536109670852
1824.3000000000002,588.1060420339738,573.0875188587997,3.955105698640305,3.058944084579348,0.6583200208557518,-0.00433713375685707,0.013267031056263257,-0.017153835958374497,0.0037883183651873237,-0.014604554888742061,-0.004366741687099216,20814.429646447752,-8115.494558747378,46315.30339993686,2872.0350349779465,2868.1249650220534,2870.798650182374,2869.361349817626,2869.862296846862,2870.2977031531377,2871.6240179928177,2868.535982007182
1824.4,588.4607098233345,573.3617018506928,3.956435271216857,3.057224222177889,0.6578852478119365,-0.0043583491510229555,0.013324431860968211,-0.017243539908320393,0.011192990940785177,-0.022348559828718143,-0.004390074047780103,20814.010917428095,-8117.8219899255055,46320.440157312354,2872.0350736652863,2868.1249263347136,2870.798597942343,2869.361402057657,2869.862182829288,2870.297817170712,2871.624145563082,2868.535854436918
1824.5,588.8152806046817,573.635563042271,3.9577705850124985,3.0554953765976838,0.6574483510255472,-0.004379608723603656,0.013381855334151371,-0.01733350026547953,0.009839786001557955,-0.0103235669959093,-0.0042590517348762,20813.55342528368,-8120.137913376311,46325.556842159014,2872.035111586713,2868.124888413287,2870.7985452136086,2869.3614547863913,2869.8620699500902,2870.2979300499096,2871.624273249588,2868.535726750412
1824.6000000000001,589.1697539891829,573.9091012322431,3.959111642283687,3.0537575221247932,0.6570093260672157,-0.004400912708638627,0.013439301275275373,-0.017423718509514963,0.014589547377929973,-0.02191539161196126,-0.004877237304398592,20813.09139139921,-8122.442696333019,46330.66204920971,2872.035149429181,2868.124850570819,2870.7984924168336,2869.3615075831663,2869.8619575104267,2870.298042489573,2871.6244006435586,2868.5355993564413
1824.7,589.5241295881168,574.1823152207387,3.9604584452675535,3.052010632895781,0.6565681684838195,-0.004422261346038736,0.013496769494836247,-0.017514196146239946,0.016379462901318365,-0.017924154220403724,-0.004704229067223412,20812.623053192874,-8124.751044702862,46335.74923311995,2872.035186820255,2868.1248131797447,2870.798439867405,2869.361560132595,2869.861845406758,2870.2981545932416,2871.6245279055815,2868.5354720944183
1824.8000000000002,589.878407012866,574.4552038093068,3.9618109961826544,3.0502546828955452,0.656124873798008,-0.00444365487363263,0.013554259790016232,-0.017604934676147543,0.01506435436823947,-0.017550834421385997,-0.005051523184454801,20812.110874758582,-8127.061970906652,46340.812737046595,2872.0352230769236,2868.1247769230763,2870.798387033438,2869.361612966562,2869.86173435406,2870.29826564594,2871.624655535578,2868.535344464422
1824.9,590.2325858749206,574.7277658009234,3.9631692972255568,3.0484896459605513,0.655679437509093,-0.0044650935267798175,0.013611771943475848,-0.01769593559287408,0.019487050444575306,-0.01630390457815749,-0.0041079370961172815,20811.599449069763,-8129.350669023188,46345.86734370857,2872.0352595615086,2868.1247404384912,2870.7983339959183,2869.3616660040816,2869.861623792886,2870.298376207114,2871.6247826496865,2868.5352173503134
1825.0,590.5866657858813,574.9999999999993,3.9645333505713496,3.0467154957769704,0.655231855092652,-0.00448657754492543,0.013669305743293503,-0.01778720040917392,0.01102567697999772,-0.015690273164017818,-0.004105995780431266,20811.07712622361,-8131.636909361259,46350.907776702355,2872.0352956801435,2868.1247043198564,2870.7982809716486,2869.361719028351,2869.861513677211,2870.298486322789,2871.6249096709967,2868.535090329003
1825.1000000000001,590.9406463574572,575.271905212383,3.9659031583742155,3.0449322058787165,0.6547821220001079,-0.004508107168765263,0.013726860974225819,-0.017878730645721763,0.010890364962881885,-0.007356194677253191,-0.004975383867434419,20810.51529526012,-8133.925268544044,46355.917824161574,2872.035330633391,2868.124669366609,2870.7982278340364,2869.3617721659634,2869.861404658344,2870.298595341656,2871.6250368742285,2868.5349631257714
1825.2,591.294527201463,575.5434802453634,3.9672787227661948,3.043139749647826,0.654330233658899,-0.004529682638368948,0.013784437411954453,-0.017970527823687465,0.018612338197677443,-0.020773805788233457,-0.004672592297745079,20809.95467017783,-8136.211009900217,46360.92118046716,2872.035365540234,2868.1246344597657,2870.798174781858,2869.361825218142,2869.861295770611,2870.298704229389,2871.6251639072966,2868.5348360927032
1825.3000000000002,591.6483079298271,575.8147239076814,3.9686600458566064,3.041338100313979,0.6538761854724341,-0.004551304193765038,0.013842034824809168,-0.01806259346706085,0.014615224048210855,-0.01660783032008026,-0.004464278742688884,20809.374631989704,-8138.472128971625,46365.90728614319,2872.035400252209,2868.124599747791,2870.7981212962186,2869.3618787037813,2869.861187874677,2870.298812125323,2871.625290576895,2868.5347094231047
